,query,sku,clicks,rank,num_impressions,doc_id,product_name,query_id,name_match,name_phrase_match,customer_review_average_factor,customerReviewCount,short_description_match,artist_name_match,long_description_phrase_match,long_description_match,salesRankShortTerm,sku_match,manufacturer_match,features_match,category_path_match,grade
6758,linksys,2225047,40,1.0,167,2225047,fake,2467,5.7744827,5.7744827,4.2,241.0,0.0,0.0,0.0,0.0,0.9994107,0.0,5.2992783,0.0,0.0,0.0
6507,kaspersky,3116339,10,3.0,73,3116339,fake,2396,9.942277,9.942277,4.3,11.0,0.0,0.0,10.602916,10.602916,0.9666339,0.0,7.099448,7.8033857,0.0,0.0
2490,Microsd,2603545,12,1.0,37,2603545,fake,920,0.0,0.0,4.8,25.0,0.0,0.0,0.0,0.0,0.081177846,0.0,0.0,5.416916,0.0,0.0
3702,Star wars blue ray,3201566,12,2.0,134,3201566,fake,1383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6653,laptop hard drive,9325367,13,3.0,162,9325367,fake,2438,9.141621,2.7376175,3.6,10.0,0.0,0.0,5.795723,13.417057,0.0,0.0,0.0,3.1303954,0.0,0.0
6498,kanye west,3168067,31,1.0,102,3168067,fake,2393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1352,Galaxy,2809771,51,2.0,245,2809771,fake,527,6.0995927,6.0995927,4.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5797,hard drive enclosure,1003059,10,3.0,102,1003059,fake,2178,14.960268,12.40169,4.4,5.0,7.367737,0.0,0.0,18.106415,0.020077616,0.0,0.0,8.914781,9.03208,0.0
3044,Ps3,8208389,26,4.0,1189,8208389,fake,1148,0.0,0.0,4.4,139.0,0.0,0.0,0.0,0.0,0.023430511,0.0,0.0,0.0,6.56999,0.0
1906,Ipad,2874076,23,14.0,2602,2874076,fake,723,3.568193,3.568193,4.0,8.0,3.8680892,0.0,0.0,0.0,1.6147972e-11,0.0,0.0,0.0,0.0,0.0
5931,hp,2715258,12,7.0,703,2715258,fake,2220,3.0300045,3.0300045,4.4,102.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6287756,2.306332,0.0,0.0
8705,xm radio,2147516,14,3.0,230,2147516,fake,3208,11.066557,5.433817,3.7,3.0,4.57317,0.0,12.116825,13.425566,3.0955138e-11,0.0,9.375742,14.39669,0.0,0.0
2606,Movies,3247045,12,2.0,111,3247045,fake,963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7976,stove,8816392,14,1.0,152,8816392,fake,2957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4940,bose,8896233,19,10.0,707,8896233,fake,1816,5.1244125,5.1244125,4.5,126.0,6.7693176,0.0,0.0,0.0,0.9440704,0.0,5.479229,0.0,0.0,0.0
3014,Projector,2628059,10,14.0,1012,2628059,fake,1144,5.6662564,5.6662564,2.5,0.0,0.0,0.0,6.1427183,6.1427183,0.0,0.0,0.0,0.0,0.0,0.0
7680,scanners,1154825,18,1.0,95,1154825,fake,2842,6.610165,6.610165,4.3,18.0,8.481292,0.0,9.310492,9.310492,3.0184967e-08,0.0,0.0,0.0,0.0,0.0
171,Acer,2845071,61,1.0,307,2845071,fake,81,4.2617435,4.2617435,4.3,96.0,0.0,0.0,0.0,0.0,0.0,0.0,6.556845,0.0,0.0,0.0
1626,Headphones,2264036,11,24.0,1628,2264036,fake,631,4.848837,4.848837,3.7,208.0,0.0,0.0,4.914591,4.914591,0.98537153,0.0,0.0,4.8097186,6.5249047,0.0
3919,Toshiba,2833778,20,7.0,590,2833778,fake,1475,3.2377887,3.2377887,4.4,150.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4197354,0.0,0.0,0.0
3590,Sony tv,9763163,10,6.0,210,9763163,fake,1345,3.3472803,0.0,4.7,106.0,0.0,0.0,0.0,3.5456183,0.0,0.0,3.894805,0.0,2.736691,0.0
7605,samsung 10.1,2817582,17,1.0,54,2817582,fake,2809,10.3049965,5.059881,4.2,201.0,0.0,0.0,4.894499,12.391398,0.0,0.0,4.444772,0.0,0.0,0.0
6710,led zeppelin,8581171,11,2.0,101,8581171,fake,2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,External hard drive,1252007,17,10.0,673,1252007,fake,483,8.506384,2.3305492,4.5,56.0,0.0,0.0,0.0,7.2696123,0.1440049,0.0,0.0,0.0,11.351924,0.0
4306,Wii sensor bar,9504146,23,1.0,23,9504146,fake,1607,19.339394,5.384735,3.8,45.0,9.373843,0.0,2.197153,16.121336,0.7565304,0.0,0.0,10.197992,6.3353724,0.0
5543,external harddrive,1251309,11,3.0,140,1251309,fake,2073,3.744402,0.0,4.2,164.0,0.0,0.0,0.0,5.8168893,0.90776825,0.0,0.0,0.0,5.330874,0.0
1549,Harmony,9837565,21,2.0,100,9837565,fake,610,8.218306,8.218306,4.1,494.0,0.0,0.0,5.7560005,5.7560005,0.97296494,0.0,0.0,0.0,0.0,0.0
614,Bluetooth speaker,2573371,10,1.0,38,2573371,fake,234,7.477796,7.4777966,4.5,10.0,0.0,0.0,8.822445,11.540119,0.0,0.0,0.0,6.4818215,0.0,0.0
828,Car radios,1685061,15,1.0,105,1685061,fake,312,0.0,0.0,4.5,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0598097,0.0
7293,playstation3,8208389,10,2.0,90,8208389,fake,2704,0.0,0.0,4.4,139.0,0.0,0.0,0.0,0.0,0.023430511,0.0,0.0,0.0,0.0,0.0
1193,Dynex,2620821,30,1.0,161,2620821,fake,456,5.065252,5.065252,4.2,185.0,0.0,0.0,8.23734,8.23734,0.9852624,0.0,5.5815797,0.0,0.0,0.0
99,3D,2244466,10,1.0,81,2244466,fake,45,5.465347,5.465347,4.1,62.0,0.0,0.0,5.65007,5.65007,0.0,0.0,0.0,4.6529875,6.6802053,0.0
6786,lumix,2053527,16,2.0,85,2053527,fake,2477,6.612059,6.612059,4.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1688,How I met your mother,9488878,10,4.0,187,9488878,fake,645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8563,windows xp,1303162,14,3.0,89,1303162,fake,3165,4.7775893,0.0,4.2,15.0,0.0,0.0,0.0,5.0051394,0.036650263,0.0,0.0,5.2906327,7.779606,0.0
413,Battery backup,9952013,10,3.0,91,9952013,fake,178,3.8334572,0.0,2.9,43.0,0.0,0.0,0.0,3.8305712,0.9023028,0.0,0.0,10.196125,11.392237,0.0
642,Bose,1246316,18,21.0,1521,1246316,fake,246,7.8816447,7.8816447,4.5,24.0,0.0,0.0,11.070692,11.070692,0.7237689,0.0,5.479229,6.1935225,0.0,0.0
5420,dvd cases,7642777,10,1.0,76,7642777,fake,2021,5.278826,0.0,4.9,14.0,0.0,0.0,0.0,4.079803,0.91150624,0.0,0.0,11.252527,3.850873,0.0
5329,disgaea,2968132,26,1.0,27,2968132,fake,1977,10.529872,10.529872,2.5,0.0,14.620794,0.0,10.164933,10.164933,0.0,0.0,0.0,0.0,0.0,0.0
5090,car stereo,1750059,20,7.0,570,1750059,fake,1872,0.0,0.0,4.6,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.307147,4.0598097,0.0
5072,car radio,2045097,13,4.0,287,2045097,fake,1869,4.762163,0.0,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.164961,4.0598097,0.0
1923,Ipad2,1945531,401,1.0,820,1945531,fake,726,0.0,0.0,4.6,653.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75
1380,Gaming mouse,9423527,14,1.0,77,9423527,fake,539,8.20836,8.20836,4.3,41.0,0.0,0.0,7.6185236,8.35787,0.60092175,0.0,0.0,0.0,0.0,0.0
850,Car stereo,9921879,19,8.0,638,9921879,fake,314,8.683145,8.683144,2.5,0.0,8.813519,0.0,0.0,5.019034,0.0,0.0,0.0,2.9562984,2.5926619,0.0
2455,Madden 12,2856465,30,3.0,603,2856465,fake,901,11.632126,7.539999,4.7,3.0,0.0,0.0,4.580509,11.264505,4.894864e-06,0.0,0.0,10.8770895,0.0,0.0
1137,Dre beats,1232483,14,10.0,432,1232483,fake,437,14.411621,4.544977,3.3,123.0,0.0,0.0,0.0,0.0,0.9466545,0.0,8.413971,0.0,0.0,0.0
5011,camera case,5878963,20,1.0,74,5878963,fake,1846,2.5623877,0.0,4.8,4.0,0.0,0.0,0.0,0.0,0.3572515,0.0,0.0,0.0,2.9490356,0.0
8548,wii play,2674102,13,2.0,54,2674102,fake,3159,12.478125,11.121397,4.0,6.0,0.0,0.0,7.1609993,10.200155,0.0,0.0,0.0,11.548042,6.3353724,0.0
826,Car radio,2045097,12,4.0,270,2045097,fake,311,4.762163,0.0,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.164961,4.0598097,0.0
881,Cell phone booster,9522493,12,2.0,64,9522493,fake,328,9.9642105,0.0,3.8,27.0,3.341864,0.0,0.0,4.714572,0.86165124,0.0,0.0,4.4264584,4.521886,0.0
7107,nintendo ds,1700992,10,3.0,158,1700992,fake,2612,8.725523,8.725522,5.0,1.0,0.0,0.0,7.238596,7.2385955,0.66090524,0.0,5.997144,0.0,11.380969,0.0
970,DVD recorder,9789843,39,1.0,92,9789843,fake,372,9.323199,2.9402466,3.7,27.0,7.589821,0.0,8.580133,11.0083685,0.9502301,0.0,0.0,4.127823,5.1502953,0.0
1234,Epic touch,3529199,20,1.0,22,3529199,fake,475,10.242849,6.3894653,4.7,164.0,3.048967,0.0,0.0,2.595748,0.9979573,0.0,0.0,1.8167236,0.0,0.0
2482,Micro sd card,2603545,26,1.0,69,2603545,fake,917,2.998988,0.0,4.8,25.0,0.0,0.0,0.0,3.3932927,0.081177846,0.0,0.0,0.0,14.722429,0.0
6735,lifehouse,9627803,13,3.0,96,9627803,fake,2460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7526,refrigerator,9089657,10,5.0,282,9089657,fake,2783,3.4317064,3.4317064,4.8,9.0,7.871999,0.0,5.1892023,5.1892023,0.97526246,0.0,0.0,5.6333284,7.647278,0.0
1712,Hp envy,1805687,44,1.0,77,1805687,fake,656,8.405566,8.405565,4.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6287756,0.0,0.0,0.0
