,query_id,sku,name_match,name_phrase_match,customer_review_average_factor,customerReviewCount,short_description_match,artist_name_match,long_description_phrase_match,long_description_match,salesRankShortTerm,sku_match,manufacturer_match,features_match,category_path_match
0,2,1004722,4.3113475,4.3113475,4.4,53.0,4.686736,0.0,5.5881104,5.5881104,0.0,0.0,0.0,3.5695639,0.0
0,3,1219686,0.0,0.0,4.7,349.0,0.0,0.0,0.0,0.0,0.96038145,11.254068,0.0,0.0,0.0
0,5,1089764,13.128994,13.128994,4.4,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,1854221,6.150585,0.0,4.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103178,2.736691
0,7,2009281,0.0,0.0,4.3,113.0,0.0,0.0,0.0,0.0,0.0,11.254068,0.0,0.0,0.0
0,8,1853531,0.0,0.0,4.2,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,1854249,0.0,0.0,4.2,354.0,0.0,0.0,0.0,0.0,7.188356e-06,0.0,0.0,0.0,0.0
2,8,2121716,0.0,0.0,4.4,93.0,0.0,0.0,0.0,0.0,0.0,11.254068,0.0,0.0,0.0
3,8,2125233,0.0,0.0,4.5,121.0,0.0,0.0,0.0,0.0,3.160879e-11,0.0,0.0,0.0,0.0
4,8,2127204,0.0,0.0,4.6,62.0,0.0,0.0,0.0,0.0,0.0,11.254068,0.0,0.0,0.0
5,8,2127213,0.0,0.0,4.4,64.0,0.0,0.0,0.0,0.0,0.0,11.254068,0.0,0.0,0.0
6,8,2127443,0.0,0.0,4.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,2127504,0.0,0.0,4.3,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2128276,0.0,0.0,4.6,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,2047508,0.0,0.0,3.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,2047526,0.0,0.0,3.5,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,2138291,0.0,0.0,4.6,40.0,0.0,0.0,0.0,0.0,0.0,11.254068,0.0,0.0,0.0
12,8,2138389,0.0,0.0,3.5,70.0,0.0,0.0,0.0,0.0,0.0022150397,0.0,0.0,0.0,0.0
13,8,2145032,0.0,0.0,4.2,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,2146553,0.0,0.0,4.4,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,2135081,0.0,0.0,4.5,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,2144103,0.0,0.0,4.5,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,1647223,0.0,0.0,3.7,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,1831054,0.0,0.0,3.8,407.0,0.0,0.0,0.0,0.0,0.915591,0.0,0.0,0.0,0.0
19,8,1945531,0.0,0.0,4.6,653.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,8,2390524,0.0,0.0,4.3,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,2351086,0.0,0.0,4.0,67.0,0.0,0.0,0.0,0.0,0.034848593,0.0,0.0,0.0,0.0
22,8,2355277,0.0,0.0,4.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,2009148,0.0,0.0,4.2,108.0,0.0,0.0,0.0,0.0,3.5611496e-11,0.0,0.0,0.0,0.0
24,8,2584325,0.0,0.0,3.9,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
